Date,Accuracy,Loss,Base_Model
2021.04.14,0.6183,0.6372,VGG16
2021.04.15,0.7574,0.1766,VGG16
2021.04.19,0.7635,0.2006,VGG19
2021.04.20,0.7986,0.1549,VGG19
2021.04.23,0.8302,0.4121,VGG19
2021.04.29,0.8,0.1576,VGG19
2021.05.06,0.7895,0.1899,VGG19
2021.05.07,0.7852,0.1935,VGG19
2021.05.09,0.7824,0.189,InceptionResNetV2
2021.05.09,0.749,0.2004,InceptionV3
2021.05.09,0.8033,0.1732,DenseNet
2021.05.09,0.8159,0.1539,MobileNet
2021.05.09,0.8145,0.1617,MobileNetV2
2021.05.12,0.8319,0.139,MobileNet
